TAGGER,SPEECH_PART,CLASSIFIER,RATIO,ACC,TF_ACC,TF2_ACC,F1,TF_F1,TF2_F1
wcrf_morf1,verbs,NAIVE BAYES,0.6,0.44175824175824174,0.4197802197802198,0.4258241758241758,0.4417582417582418,0.4197802197802198,0.4258241758241758
wcrf_morf1,verbs,SVN,0.6,0.4304945054945055,0.4260989010989011,0.43324175824175826,0.4304945054945055,0.4260989010989011,0.4332417582417583
wcrf_morf1,verbs,NAIVE BAYES,0.7,0.4501831501831502,0.43553113553113554,0.4358974358974359,0.4501831501831502,0.43553113553113554,0.4358974358974359
wcrf_morf1,verbs,SVN,0.7,0.4271062271062271,0.43333333333333335,0.43846153846153846,0.4271062271062271,0.43333333333333335,0.43846153846153846
wcrf_morf1,verbs,NAIVE BAYES,0.8,0.4554945054945055,0.44065934065934065,0.4472527472527473,0.4554945054945055,0.44065934065934065,0.4472527472527473
wcrf_morf1,verbs,SVN,0.8,0.4357142857142857,0.44560439560439563,0.4489010989010989,0.4357142857142857,0.44560439560439563,0.4489010989010989
wcrf_morf1,verbs,NAIVE BAYES,0.9,0.46153846153846156,0.45054945054945056,0.45494505494505494,0.46153846153846156,0.45054945054945056,0.45494505494505494
wcrf_morf1,verbs,SVN,0.9,0.42967032967032964,0.43626373626373627,0.44835164835164837,0.42967032967032964,0.43626373626373627,0.44835164835164837
wcrf_morf1,nouns,NAIVE BAYES,0.6,0.509065934065934,0.45714285714285713,0.46565934065934067,0.509065934065934,0.45714285714285713,0.46565934065934067
wcrf_morf1,nouns,SVN,0.6,0.4901098901098901,0.4901098901098901,0.4898351648351648,0.4901098901098901,0.4901098901098901,0.4898351648351648
wcrf_morf1,nouns,NAIVE BAYES,0.7,0.4978021978021978,0.47326007326007324,0.48131868131868133,0.4978021978021978,0.47326007326007324,0.48131868131868133
wcrf_morf1,nouns,SVN,0.7,0.4838827838827839,0.4912087912087912,0.4912087912087912,0.4838827838827839,0.4912087912087912,0.4912087912087912
wcrf_morf1,nouns,NAIVE BAYES,0.8,0.4818681318681319,0.45989010989010987,0.4653846153846154,0.4818681318681319,0.45989010989010987,0.4653846153846154
wcrf_morf1,nouns,SVN,0.8,0.4846153846153846,0.48626373626373626,0.4912087912087912,0.4846153846153846,0.48626373626373626,0.4912087912087912
wcrf_morf1,nouns,NAIVE BAYES,0.9,0.5197802197802198,0.5,0.4978021978021978,0.5197802197802198,0.5,0.4978021978021978
wcrf_morf1,nouns,SVN,0.9,0.5076923076923077,0.5098901098901099,0.510989010989011,0.5076923076923077,0.5098901098901099,0.510989010989011
wcrf_morf1,adj,NAIVE BAYES,0.6,0.5043956043956044,0.47912087912087914,0.4807692307692308,0.5043956043956044,0.47912087912087914,0.4807692307692308
wcrf_morf1,adj,SVN,0.6,0.49313186813186816,0.48296703296703297,0.4807692307692308,0.49313186813186816,0.48296703296703297,0.4807692307692308
wcrf_morf1,adj,NAIVE BAYES,0.7,0.4981684981684982,0.47692307692307695,0.4776556776556777,0.4981684981684982,0.47692307692307695,0.4776556776556777
wcrf_morf1,adj,SVN,0.7,0.48754578754578753,0.47912087912087914,0.4736263736263736,0.48754578754578753,0.47912087912087914,0.47362637362637355
wcrf_morf1,adj,NAIVE BAYES,0.8,0.4950549450549451,0.47417582417582416,0.47307692307692306,0.4950549450549451,0.47417582417582416,0.47307692307692306
wcrf_morf1,adj,SVN,0.8,0.4785714285714286,0.4664835164835165,0.46593406593406594,0.4785714285714286,0.4664835164835165,0.46593406593406594
wcrf_morf1,adj,NAIVE BAYES,0.9,0.5065934065934066,0.4857142857142857,0.4846153846153846,0.5065934065934066,0.4857142857142857,0.4846153846153846
wcrf_morf1,adj,SVN,0.9,0.4912087912087912,0.48131868131868133,0.46703296703296704,0.4912087912087912,0.48131868131868133,0.46703296703296704
wcrf_morf1,all,NAIVE BAYES,0.6,0.5576923076923077,0.48296703296703297,0.4989010989010989,0.5576923076923077,0.48296703296703297,0.4989010989010989
